sectperf,prof_pos,sex,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
BES,OTH,T,FTE,EL	: 	: 	: 	: 	802 b	: 	: 	: 	1809 	: 	1824 	: 	2456 	2102 	2078 	1911 	942 	: 	520 	479 	635 	: 	638 	: 	526 	: 	489 	455 	: 	448 b	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,ES	: 	10234 	10062 	10201 	11113 	11641 	13086 	14357 	13302 	13122 	12585 	12501 	12056 	11077 b	8768 	9147 	8042 	8249 	6836 	7399 e	6763 	7118 e	7238 	7557 	8019 	8364 	7870 	7518 	6967 	6626 	6451 	6376 	5493 	5456 	5053 	: 
BES,OTH,T,FTE,FR	: 	15180 	15823 	15886 	16347 	17209 	17580 	18627 	20026 	19788 b	20556 	21047 	: 	: 	: 	: 	24315 	24977 	25387 b	25006 	25669 	26160 	26882 	30434 b	29918 	30721 	30755 	30715 	31597 	33292 	33993 	34320 	34004 	33650 	33648 	: 
BES,OTH,T,FTE,HR	272 	261 	272 	217 	220 	258 	357 	306 	284 	260 	236 	325 	206 	397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,HU	2358 	2441 	3484 	2729 	1901 	1573 	1571 	1097 	1036 	880 	680 	738 	919 	1014 	848 	731 	739 	762 	1118 	1262 	1350 	1534 	1698 	1703 	2696 	3628 	4548 	4725 	4908 	5029 	4830 	3923 	4751 	5253 	3763 	9317 
BES,OTH,T,FTE,IE	2320 p	2243 e	2169 	2057 e	1897 	1660 e	1628 	1651 	1539 	1397 	1256 	1300 	1359 	1383 	1407 	1093 	1037 	1167 e	1298 	1183 e	1292 	1065 e	804 	854 e	904 	600 	626 e	652 	560 	468 	435 	402 	390 	400 	370 	: 
BES,OTH,T,FTE,IS	145 	: 	250 b	: 	91 b	: 	128 	86 	83 	154 	197 	: 	204 	: 	: 	: 	112 	126 e	115 	: 	46 	38 	36 	20 	24 	36 	37 	: 	18 	: 	6 	: 	7 	: 	21 	: 
BES,OTH,T,FTE,IT	: 	22317 	22216 	20886 	18971 	20315 	18068 	19613 	17199 	14897 	12528 	11350 	11541 	11809 	10702 	10711 	10241 	10566 	11086 	11104 	11419 	12198 	11789 	13059 	13549 	12681 	13123 	11826 	10398 	11881 	11686 	11110 	11926 	12098 	12358 	: 
BES,OTH,T,FTE,JP	: 	60941 	57494 	58932 	63060 	72015 	74198 	77684 	81311 	81281 	75692 	79496 	74083 	75955 	79740 	99328 	103830 	114424 	115447 	121285 b	122368 	126861 	135086 	138676 	134359 	140064 	127995 	125869 	121194 	119468 	118196 	113934 	110130 	103945 	102460 	: 
BES,OTH,T,FTE,KR	: 	7139 	6325 	6794 	6107 	6690 	5431 	6006 	4099 b	3583 d	3358 d	3134 d	3055 d	2788 d	4296 d	3641 d	5328 d	5568 d	4920 d	5374 d	8802 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,LT	: 	: 	: 	: 	378 	316 	231 	379 	514 	169 	230 	199 	104 	60 	113 	192 	176 	238 	95 	172 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,LU	604 p	595 	574 	586 b	388 	406 	689 	730 	940 	929 	504 	: 	285 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,LV	: 	: 	: 	: 	146 	283 	155 	314 	250 	357 	490 	233 	250 	432 	401 	242 	178 	207 	251 	248 	317 	380 	588 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,ME	: 	17 	22 	: 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,MK	: 	6 	1 	3 	4 	1 	3 	1 	1 	1 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,MT	144 p	152 	101 	122 	128 	105 	60 	54 	49 	72 	69 	65 b	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,NL	: 	: 	: 	: 	11178 b	8149 	5876 	6859 	5967 	6485 	6009 	6962 	6913 	7861 	7851 	7542 	8595 	8191 	7347 	6712 b	7555 	7258 b	6270 	: 	: 	: 	5810 	: 	: 	: 	6360 	: 	: 	: 	8185 	: 
BES,OTH,T,FTE,PL	5037 	4266 	2950 	2989 	2678 	2228 	1159 	1549 	1802 	1656 	1617 	1754 	1585 	1338 	3060 	3714 	4231 	5006 	4528 	5586 	6534 	6593 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
